timestamp,open,high,low,close,volume
2020-04-15,119.1200,120.1852,116.7600,118.6900,5632156
2020-04-14,123.4600,125.1800,122.6200,123.9100,5087292
2020-04-13,121.6300,121.8000,118.0400,121.1500,5118777
2020-04-09,120.4800,122.9200,120.1672,121.5000,5576210
2020-04-08,116.3100,119.9600,115.0742,119.2900,5155987
2020-04-07,118.8000,119.5700,114.8700,114.9400,5592463
2020-04-06,110.3500,115.6300,110.1300,114.8200,7026457
2020-04-03,108.9200,110.0700,104.9200,106.3400,4538113
2020-04-02,105.3700,110.3200,105.1400,110.0000,6327540
2020-04-01,106.3600,109.9200,104.5210,105.1400,6111890
2020-03-31,112.0000,113.8100,110.1700,110.9300,6342167
2020-03-30,108.0900,113.4600,107.8100,112.9300,5562501
2020-03-27,108.5800,111.5000,107.6450,108.0300,6421470
2020-03-26,106.9100,113.1500,105.5700,112.8900,7153135
2020-03-25,105.4800,112.4779,102.8300,105.8500,8646557
2020-03-24,99.9900,106.0400,99.2600,105.4800,7967768
2020-03-23,94.6000,97.7400,90.5600,94.7700,9718602
2020-03-20,100.9200,100.9900,94.7100,95.3900,10543213
2020-03-19,102.3300,103.6900,98.2350,100.3400,8391294
2020-03-18,99.4100,106.9345,99.4000,103.5500,8751994
2020-03-17,100.6100,107.3950,97.1000,106.6500,8887501
2020-03-16,98.0000,107.4100,95.0000,99.0800,10564044
2020-03-13,108.6800,109.1600,100.8100,107.9500,12493419
2020-03-12,109.6500,109.8000,102.2800,102.8100,12485925
2020-03-11,121.0100,122.5800,116.3838,117.9700,8446480
2020-03-10,122.7800,124.8800,115.7600,124.7700,11403865
2020-03-09,120.1600,122.4100,117.2800,117.8100,10750357
2020-03-06,126.7000,128.3300,124.5200,127.7300,8192525
2020-03-05,130.5000,132.2900,128.4500,129.5500,5445193
2020-03-04,131.5800,134.2800,129.0000,134.2200,4994682
2020-03-03,134.4800,136.0950,127.8000,128.9000,7893390
2020-03-02,130.7500,134.4400,127.9500,134.3000,8528971
2020-02-28,129.9800,131.0900,126.3600,130.1500,13009236
2020-02-27,137.2400,138.6900,133.0100,133.1100,8404903
2020-02-26,142.9000,144.0600,139.6000,139.7500,5407690
2020-02-25,146.5100,147.0700,141.2610,141.7100,6210878
2020-02-24,145.5100,148.0500,145.3800,146.4300,5447948
2020-02-21,151.0400,151.0400,148.8400,149.8400,3536740
2020-02-20,150.8100,151.6200,149.5100,151.2200,2880483
2020-02-19,151.5400,151.8900,150.3100,150.8600,2732905
2020-02-18,149.7900,151.3800,149.6400,151.1000,3343038
2020-02-14,154.4200,154.5600,149.7700,150.7000,6095081
2020-02-13,154.3700,154.8300,153.4100,154.3100,3819757
2020-02-12,153.7500,155.6000,153.5200,155.3100,4437792
2020-02-11,155.1200,155.2200,152.7304,153.4800,3833574
2020-02-10,152.9700,154.4400,151.5800,154.4300,5237553
2020-02-07,154.5500,155.5400,152.9200,153.4100,6414553
2020-02-06,156.8200,158.7500,155.4200,156.7600,8394374
2020-02-05,150.2100,157.4400,150.1500,156.3300,14379714
2020-02-04,147.7800,149.3800,146.8800,149.1100,5619700
2020-02-03,144.2500,147.2800,143.9000,146.2700,8886414
2020-01-31,142.9000,144.0500,140.7900,143.7300,18987138
2020-01-30,136.7600,136.9700,134.9700,136.7700,5007038
2020-01-29,139.1700,139.5800,137.5950,137.6900,3053189
2020-01-28,139.5000,140.4700,138.7500,139.5500,3449000
2020-01-27,138.5000,140.0690,138.1000,138.6200,4165146
2020-01-24,143.3900,143.9200,140.4600,140.5600,5579292
2020-01-23,144.2000,144.4097,142.1500,142.8700,5654308
2020-01-22,143.3200,145.7900,142.5500,143.8900,16464948
